,0,1,"query","relations","target","primary","primary_rel","secondary_rel"
10,"Which disease is treated with lucinactant?","select ?item ?itemLabel
Where {
  wd:Q6697358 wdt:P2175 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q12136 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q6697358 wdt:P2175 ?item', '?item (wdt:P31|wdt:P279)* wd:Q12136']","['wdt:P2175', '(wdt:P31|wdt:P279)*']","wd:Q12136","wd:Q6697358","wdt:P2175","(wdt:P31|wdt:P279)*"
11,"Which genes have been found to be associated with restless leg syndrome","select distinct ?item where {
  wd:Q916280 wdt:P2293 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q7187 .
}","['wd:Q916280 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q7187']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q7187","wd:Q916280","wdt:P2293","(wdt:P31|wdt:P279)*"
12,"Mutation of which gene causes arterial tortuosity syndrome?","select ?item ?itemLabel
Where {
  wd:Q4216194 wdt:P2293 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q7187 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q4216194 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q7187']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q7187","wd:Q4216194","wdt:P2293","(wdt:P31|wdt:P279)*"
13,"Which pathological conditions are caused by mutations in the CYLD gene?","select distinct ?item where {
  ?item wdt:P2293 wd:Q17911655 .
  ?item (wdt:P31|wdt:P279)* wd:Q12136 .
}","['?item wdt:P2293 wd:Q17911655', '?item (wdt:P31|wdt:P279)* wd:Q12136']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q12136","wd:Q17911655","wdt:P2293","(wdt:P31|wdt:P279)*"
14,"From which tissue type is leptin secreted?","select ?item ?itemLabel
Where {
  wd:Q14851942 wdt:P5572 ?item.
  ?item (wdt:P31|wdt:P279)* wd:Q103843025 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}
","['wd:Q14851942 wdt:P5572 ?item', '?item (wdt:P31|wdt:P279)* wd:Q103843025']","['wdt:P5572', '(wdt:P31|wdt:P279)*']","wd:Q103843025","wd:Q14851942","wdt:P5572","(wdt:P31|wdt:P279)*"
15,"What illness is transmitted by the Lone Star Tick, Amblyomma americanum?","select distinct ?item where {
  ?item wdt:P1060 wd:Q1948607 .
  ?item (wdt:P31|wdt:P279)* wd:Q12136 .
}
","['?item wdt:P1060 wd:Q1948607', '?item (wdt:P31|wdt:P279)* wd:Q12136']","['wdt:P1060', '(wdt:P31|wdt:P279)*']","wd:Q12136","wd:Q1948607","wdt:P1060","(wdt:P31|wdt:P279)*"
16,"Which genes are associated with Charcot-Marie-Tooth?","select distinct ?item where {
  wd:Q1052687 wdt:P2293 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q7187 .
}","['wd:Q1052687 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q7187']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q7187","wd:Q1052687","wdt:P2293","(wdt:P31|wdt:P279)*"
17,"What family do mDia1 protein belong in?","select ?item ?itemLabel 
Where {   
wd:Q21115773 wdt:P361 ?item .
?item (wdt:P31|wdt:P279)* wd:Q417841 .   
?item rdfs:label ?itemLabel .   
filter(lang(?itemLabel) = ""en"") 
}","['wd:Q21115773 wdt:P361 ?item', '?item (wdt:P31|wdt:P279)* wd:Q417841']","['wdt:P361', '(wdt:P31|wdt:P279)*']","wd:Q417841","wd:Q21115773","wdt:P361","(wdt:P31|wdt:P279)*"
18,"What drug cures hepatitis C?","select ?item ?itemLabel
Where {
  wd:Q154869 wdt:P2176 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q12140 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q154869 wdt:P2176 ?item', '?item (wdt:P31|wdt:P279)* wd:Q12140']","['wdt:P2176', '(wdt:P31|wdt:P279)*']","wd:Q12140","wd:Q154869","wdt:P2176","(wdt:P31|wdt:P279)*"
19,"List the cellular processes the protein lactotransferrin is involved in.","select distinct ?item where {
  wd:Q410246 wdt:P682 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q14873025 . 
}","['wd:Q410246 wdt:P682 ?item', '?item (wdt:P31|wdt:P279)* wd:Q14873025']","['wdt:P682', '(wdt:P31|wdt:P279)*']","wd:Q14873025","wd:Q410246","wdt:P682","(wdt:P31|wdt:P279)*"
20,"Which diseases are caused by mutations in Calsequestrin 2 (CASQ2) gene?","select distinct ?item where {
  ?item wdt:P2293 wd:Q17855954 .
  ?item (wdt:P31|wdt:P279)* wd:Q12136 .
}","['?item wdt:P2293 wd:Q17855954', '?item (wdt:P31|wdt:P279)* wd:Q12136']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q12136","wd:Q17855954","wdt:P2293","(wdt:P31|wdt:P279)*"
21,"What molecule is targeted by suvorexant?","select ?item ?itemLabel
Where {
  wd:Q7650517 wdt:P129 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q11369 .   
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q7650517 wdt:P129 ?item', '?item (wdt:P31|wdt:P279)* wd:Q11369']","['wdt:P129', '(wdt:P31|wdt:P279)*']","wd:Q11369","wd:Q7650517","wdt:P129","(wdt:P31|wdt:P279)*"
22,"Mutations in which genes have been associated with Aicardi-Goutieres syndrome?","select distinct ?item where {
  wd:Q403453 wdt:P2293 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q7187 .
}","['wd:Q403453 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q7187']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q7187","wd:Q403453","wdt:P2293","(wdt:P31|wdt:P279)*"
23,"Which gene is associated with Rubinstein-Taybi syndrome?","select ?item ?itemLabel
Where {
  wd:Q666980 wdt:P2293 ?item .
 ?item (wdt:P31|wdt:P279)* wd:Q7187 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q666980 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q7187']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q7187","wd:Q666980","wdt:P2293","(wdt:P31|wdt:P279)*"
24,"RTS S AS01 vaccine was developed to prevent which disease?","select ?item ?itemLabel
Where {
  wd:Q7277881 wdt:P1924 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q12136 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q7277881 wdt:P1924 ?item', '?item (wdt:P31|wdt:P279)* wd:Q12136']","['wdt:P1924', '(wdt:P31|wdt:P279)*']","wd:Q12136","wd:Q7277881","wdt:P1924","(wdt:P31|wdt:P279)*"
25,"Which is the protein encoded by the human gene GRIK?","select ?item ?itemLabel
Where {
  wd:Q4039195 wdt:P688 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q8054 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q4039195 wdt:P688 ?item', '?item (wdt:P31|wdt:P279)* wd:Q8054']","['wdt:P688', '(wdt:P31|wdt:P279)*']","wd:Q8054","wd:Q4039195","wdt:P688","(wdt:P31|wdt:P279)*"
26,"Which gene is involved in the development of Barth syndrome?","select ?item ?itemLabel
Where {
  wd:Q928424 wdt:P2293 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q7187 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q928424 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q7187']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q7187","wd:Q928424","wdt:P2293","(wdt:P31|wdt:P279)*"
27,"Please list 3 drugs that have EGFR as their primary target.","select distinct ?item where {
  ?item (wdt:P31|wdt:P279)* wd:Q12140 .
  ?item wdt:P129 wd:Q424401  .
}","['?item (wdt:P31|wdt:P279)* wd:Q12140', '?item wdt:P129 wd:Q424401']","['(wdt:P31|wdt:P279)*', 'wdt:P129']","wd:Q12140","wd:Q424401","wdt:P129","(wdt:P31|wdt:P279)*"
28,"Which type of cells is affected in Amyotrophic Lateral Sclerosis?","select ?item ?itemLabel
Where {
  wd:Q206901 wdt:P689 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q189118 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q206901 wdt:P689 ?item', '?item (wdt:P31|wdt:P279)* wd:Q189118']","['wdt:P689', '(wdt:P31|wdt:P279)*']","wd:Q189118","wd:Q206901","wdt:P689","(wdt:P31|wdt:P279)*"
29,"Which disease do pathogenic NR2F1 variants cause?","select ?item where {
  ?item wdt:P2293 wd:Q18031958 .
  ?item (wdt:P31|wdt:P279)* wd:Q12136 .
}","['?item wdt:P2293 wd:Q18031958', '?item (wdt:P31|wdt:P279)* wd:Q12136']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q12136","wd:Q18031958","wdt:P2293","(wdt:P31|wdt:P279)*"
30,"Which is the gene most commonly mutated in Tay-Sachs disease?","select ?item ?itemLabel
Where {
  wd:Q560337 wdt:P2293 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q7187 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q560337 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q7187']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q7187","wd:Q560337","wdt:P2293","(wdt:P31|wdt:P279)*"
31,"What molecule is targeted by brodalumab?","select ?item ?itemLabel
Where {
  wd:Q4972934 wdt:P129 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q11369 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q4972934 wdt:P129 ?item', '?item (wdt:P31|wdt:P279)* wd:Q11369']","['wdt:P129', '(wdt:P31|wdt:P279)*']","wd:Q11369","wd:Q4972934","wdt:P129","(wdt:P31|wdt:P279)*"
32,"Which disease is treated with Nusinersen?","select ?item ?itemLabel
Where {
  wd:Q25105466 wdt:P2175 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q12136 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q25105466 wdt:P2175 ?item', '?item (wdt:P31|wdt:P279)* wd:Q12136']","['wdt:P2175', '(wdt:P31|wdt:P279)*']","wd:Q12136","wd:Q25105466","wdt:P2175","(wdt:P31|wdt:P279)*"
33,"Which plant does oleuropein originate from?","select ?item ?itemLabel
Where {
  wd:Q402625 wdt:P703 ?item .
  ?item wdt:P171* wd:Q756 . 
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q402625 wdt:P703 ?item', '?item wdt:P171* wd:Q756']","['wdt:P703', 'wdt:P171*']","wd:Q756","wd:Q402625","wdt:P703","wdt:P171*"
34,"Sclerostin regulates what process?","select ?item ?itemLabel
Where {
  wd:Q7434196 wdt:P682 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q3249551 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q7434196 wdt:P682 ?item', '?item (wdt:P31|wdt:P279)* wd:Q3249551']","['wdt:P682', '(wdt:P31|wdt:P279)*']","wd:Q3249551","wd:Q7434196","wdt:P682","(wdt:P31|wdt:P279)*"
35,"Which disease is caused by mutations in the gene PRF1?","select ?item where {
  wd:Q14864078 wdt:P2293 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q12136 .
}","['wd:Q14864078 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q12136']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q12136","wd:Q14864078","wdt:P2293","(wdt:P31|wdt:P279)*"
36,"Which drugs are included in TAS-102?","select distinct ?item where {
   wd:Q15708335 wdt:P527 ?item.
  ?item (wdt:P31|wdt:P279)* wd:Q12140 .
}","['wd:Q15708335 wdt:P527 ?item', '?item (wdt:P31|wdt:P279)* wd:Q12140']","['wdt:P527', '(wdt:P31|wdt:P279)*']","wd:Q12140","wd:Q15708335","wdt:P527","(wdt:P31|wdt:P279)*"
37,"Which mutated gene causes the Chédiak–Higashi Syndrome?","select ?item ?itemLabel
Where {
  wd:Q934034 wdt:P2293 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q7187 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q934034 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q7187']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q7187","wd:Q934034","wdt:P2293","(wdt:P31|wdt:P279)*"
38,"The MMR vaccine protects against what 3 diseases?","select distinct ?item where {
  wd:Q908104 wdt:P1924 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q12136 .
}","['wd:Q908104 wdt:P1924 ?item', ' ?item (wdt:P31|wdt:P279)* wd:Q12136']","['wdt:P1924', '(wdt:P31|wdt:P279)*']","wd:Q12136","wd:Q908104","wdt:P1924","(wdt:P31|wdt:P279)*"
39,"List the main proteins found in human saliva.","select distinct ?item where {
  wd:Q37817532 wdt:P527 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q8054 .
}","['wd:Q37817532 wdt:P527 ?item', '?item (wdt:P31|wdt:P279)* wd:Q8054']","['wdt:P527', '(wdt:P31|wdt:P279)*']","wd:Q8054","wd:Q37817532","wdt:P527","(wdt:P31|wdt:P279)*"
40,"List diseases that are caused by the Meningococcus B?","select distinct ?item where {
  ?item wdt:P828 wd:Q154625  .
  ?item (wdt:P31|wdt:P279)* wd:Q12136 . 
}","['?item wdt:P828 wd:Q154625', '?item (wdt:P31|wdt:P279)* wd:Q12136']","['wdt:P828', '(wdt:P31|wdt:P279)*']","wd:Q12136","wd:Q154625","wdt:P828","(wdt:P31|wdt:P279)*"
41,"Belzutifan has shown effectiveness for which diseases?","select ?item where {
  wd:Q27456641 wdt:P2175 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q12136 .
}
","['wd:Q27456641 wdt:P2175 ?item', '?item (wdt:P31|wdt:P279)* wd:Q12136']","['wdt:P2175', '(wdt:P31|wdt:P279)*']","wd:Q12136","wd:Q27456641","wdt:P2175","(wdt:P31|wdt:P279)*"
42,"Which receptor is inhibited by Tivozanib?","select ?item ?itemLabel
Where {
  wd:Q7810457 wdt:P129 ?item .
  ?item (wdt:P31|wdt:P279|wdt:P361)* wd:Q208467 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}
","['wd:Q7810457 wdt:P129 ?item', '?item (wdt:P31|wdt:P279|wdt:P361)* wd:Q208467']","['wdt:P129', '(wdt:P31|wdt:P279|wdt:P361)*']","wd:Q208467","wd:Q7810457","wdt:P129","(wdt:P31|wdt:P279|wdt:P361)*"
43,"Which syndrome is associated with mutant DVL1?","select ?item ?itemLabel 
Where {   
wd:Q17915107 wdt:P2293 ?item .   
?item (wdt:P31|wdt:P279)* wd:Q179630 .
?item rdfs:label ?itemLabel .   
filter(lang(?itemLabel) = ""en"") 
}","['wd:Q17915107 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q179630']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q179630","wd:Q17915107","wdt:P2293","(wdt:P31|wdt:P279)*"
44,"Which chromosome contains the TLR7 locus in the human genome?","select ?item ?itemLabel
Where {
  wd:Q14914081 wdt:P1057 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q37748 .  
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}
","['wd:Q14914081 wdt:P1057 ?item', '?item (wdt:P31|wdt:P279)* wd:Q37748']","['wdt:P1057', '(wdt:P31|wdt:P279)*']","wd:Q37748","wd:Q14914081","wdt:P1057","(wdt:P31|wdt:P279)*"
45,"List the diseases that can be treated using Vedolizumab.","select distinct ?item where {
   wd:Q7918002 wdt:P2175 ?item.
  ?item (wdt:P31|wdt:P279)* wd:Q12136 .
}","['wd:Q7918002 wdt:P2175 ?item', '?item (wdt:P31|wdt:P279)* wd:Q12136']","['wdt:P2175', '(wdt:P31|wdt:P279)*']","wd:Q12136","wd:Q7918002","wdt:P2175","(wdt:P31|wdt:P279)*"
46,"For which type of diabetes can empagliflozin be used?","select ?item ?itemLabel
Where {
  wd:Q5373824 wdt:P2175 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q12206 .   
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q5373824 wdt:P2175 ?item', '?item (wdt:P31|wdt:P279)* wd:Q12206']","['wdt:P2175', '(wdt:P31|wdt:P279)*']","wd:Q12206","wd:Q5373824","wdt:P2175","(wdt:P31|wdt:P279)*"
47,"What disease is mirtazapine predominantly used for?","select ?item ?itemLabel
Where {
  wd:Q421930 wdt:P2175 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q12136 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q421930 wdt:P2175 ?item', '?item (wdt:P31|wdt:P279)* wd:Q12136']","['wdt:P2175', '(wdt:P31|wdt:P279)*']","wd:Q12136","wd:Q421930","wdt:P2175","(wdt:P31|wdt:P279)*"
48,"What monoclonal antibody drugs are used to treat late stage melanoma?","select distinct ?item where {
  ?item (wdt:P31|wdt:P279)* wd:Q422248 .
  ?item wdt:P2175 wd:Q18975855  .
}","['?item (wdt:P31|wdt:P279)* wd:Q422248', '?item wdt:P2175 wd:Q18975855']","['(wdt:P31|wdt:P279)*', 'wdt:P2175']","wd:Q422248","wd:Q18975855","wdt:P2175","(wdt:P31|wdt:P279)*"
49,"Which two genes are implicated in Juvenile polyposis syndrome?","select distinct ?item where {
  wd:Q609165 wdt:P2293 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q7187 .
}","['wd:Q609165 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q7187']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q7187","wd:Q609165","wdt:P2293","(wdt:P31|wdt:P279)*"
50,"Which kinase is inhibited by the small molecule KN-93?","select ?item ?itemLabel
Where {
  wd:Q72487009 wdt:P129 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q421851 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q72487009 wdt:P129 ?item', '?item (wdt:P31|wdt:P279)* wd:Q421851']","['wdt:P129', '(wdt:P31|wdt:P279)*']","wd:Q421851","wd:Q72487009","wdt:P129","(wdt:P31|wdt:P279)*"
51,"Which is the main calcium pump of the sarcoplasmic reticulum?","select ?item ?itemLabel where {
  ?item (wdt:P31|wdt:P279|wdt:P361)* wd:Q17113155 .
  ?item wdt:P681 wd:Q14633936 .
  ?item rdfs:label ?itemLabel .
}","['?item (wdt:P31|wdt:P279|wdt:P361)* wd:Q17113155', '?item wdt:P681 wd:Q14633936']","['(wdt:P31|wdt:P279|wdt:P361)*', 'wdt:P681']","wd:Q17113155","wd:Q14633936","wdt:P681","(wdt:P31|wdt:P279|wdt:P361)*"
52,"Which gene is associated with Muenke syndrome?","select ?item ?itemLabel
Where {
  wd:Q3508679 wdt:P2293 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q7187 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q3508679 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q7187']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q7187","wd:Q3508679","wdt:P2293","(wdt:P31|wdt:P279)*"
53,"What cellular process is the gene product of NANOG involved in?","select ?item ?itemLabel
Where {
  wd:Q420522 wdt:P682 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q2996394 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q420522 wdt:P682 ?item', '?item (wdt:P31|wdt:P279)* wd:Q2996394']","['wdt:P682', '(wdt:P31|wdt:P279)*']","wd:Q2996394","wd:Q420522","wdt:P682","(wdt:P31|wdt:P279)*"
54,"Which genes are defective in Prader-Willi syndrome?","select distinct ?item where {
  wd:Q594013 wdt:P2293 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q7187 .
}","['wd:Q594013 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q7187']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q7187","wd:Q594013","wdt:P2293","(wdt:P31|wdt:P279)*"
55,"Which protein complexes contain mitofilin?","select distinct ?item where {
  wd:Q21114803 wdt:P681 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q22325163 .
}","['wd:Q21114803 wdt:P681 ?item', '?item (wdt:P31|wdt:P279)* wd:Q22325163']","['wdt:P681', '(wdt:P31|wdt:P279)*']","wd:Q22325163","wd:Q21114803","wdt:P681","(wdt:P31|wdt:P279)*"
56,"What disease is Loxapine prominently used for?","select ?item ?itemLabel
Where {
  wd:Q58614 wdt:P2175 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q12136 .   
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q58614 wdt:P2175 ?item', '?item (wdt:P31|wdt:P279)* wd:Q12136']","['wdt:P2175', '(wdt:P31|wdt:P279)*']","wd:Q12136","wd:Q58614","wdt:P2175","(wdt:P31|wdt:P279)*"
57,"The Shingrix vaccine is used to prevent what disease?","select ?item ?itemLabel
where {
  wd:Q42610038 wdt:P1924 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q12136 .  
  ?item skos:prefLabel ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q42610038 wdt:P1924 ?item', '?item (wdt:P31|wdt:P279)* wd:Q12136']","['wdt:P1924', '(wdt:P31|wdt:P279)*']","wd:Q12136","wd:Q42610038","wdt:P1924","(wdt:P31|wdt:P279)*"
58,"Which genes have been found mutated in Gray platelet syndrome patients?","select distinct ?item where {
  wd:Q5598273 wdt:P2293 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q7187 .
}","['wd:Q5598273 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q7187']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q7187","wd:Q5598273","wdt:P2293","(wdt:P31|wdt:P279)*"
