,0,1,"query","relations","primary","primary_rel"
47,"Where are the A-type lamins expressed?","select ?item ?itemLabel
Where {
  wd:Q14911829 wdt:P5572 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q14911829 wdt:P5572 ?item']","['wdt:P5572']","wd:Q14911829","wdt:P5572"
48,"What are the indications for hydrochlorothiazide?","select distinct ?item where {
   wd:Q423930 wdt:P2175 ?item.
}","['wd:Q423930 wdt:P2175 ?item']","['wdt:P2175']","wd:Q423930","wdt:P2175"
49,"What is the gene ABCG1 encoding?","select ?item where {
  wd:Q18034442 wdt:P688 ?item .
}","['wd:Q18034442 wdt:P688 ?item']","['wdt:P688']","wd:Q18034442","wdt:P688"
50,"List fluorescent reporter proteins.","select distinct ?item where {
  ?item (wdt:P31|wdt:P279)* wd:Q55643886 .
}","['?item (wdt:P31|wdt:P279)* wd:Q55643886']","['(wdt:P31|wdt:P279)*']","wd:Q55643886","(wdt:P31|wdt:P279)*"
51,"What does AZD0530 target?","select ?item ?itemLabel
Where {
  wd:Q21098957 wdt:P129 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}
","['wd:Q21098957 wdt:P129 ?item']","['wdt:P129']","wd:Q21098957","wdt:P129"
52,"List all indications for Glivec","select distinct ?item where {
   wd:Q29005907 wdt:P4044 ?item.
}","['wd:Q29005907 wdt:P4044 ?item']","['wdt:P4044']","wd:Q29005907","wdt:P4044"
53,"Which is the enzymatic activity of OTULIN?","select ?item ?itemLabel
Where {
  wd:Q21112127 wdt:P682 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q21112127 wdt:P682 ?item']","['wdt:P682']","wd:Q21112127","wdt:P682"
54,"What causes Ocular Thelaziasis?","select ?item where {
  wd:Q2090711 wdt:P828 ?item .
}","['wd:Q2090711 wdt:P828 ?item']","['wdt:P828']","wd:Q2090711","wdt:P828"
55,"List 2 approved drug treatments for Inflammatory Bowel Disease (IBD).","select distinct ?item where {
  wd:Q917447 wdt:P2176 ?item .
}","['wd:Q917447 wdt:P2176 ?item']","['wdt:P2176']","wd:Q917447","wdt:P2176"
56,"What is the first line treatment for sarcoidosis?","select ?item ?itemLabel
Where {
  wd:Q193894 wdt:P924 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q193894 wdt:P924 ?item']","['wdt:P924']","wd:Q193894","wdt:P924"
57,"Which are the lactate isomers?","select distinct ?item where {
  ?item wdt:P31 wd:Q161249 .
}","['?item wdt:P31 wd:Q161249']","['wdt:P31']","wd:Q161249","wdt:P31"
58,"Which receptor is targeted by Spesolimab?","select ?item where {
  wd:Q111172579 wdt:P2789 ?item .
}","['wd:Q111172579 wdt:P2789 ?item']","['wdt:P2789']","wd:Q111172579","wdt:P2789"
59,"List the components of mTOR Complex 2 (mTORC2).","select distinct ?item where {
  wd:Q107515523 wdt:P527 ?item .
}","['wd:Q107515523 wdt:P527 ?item']","['wdt:P527']","wd:Q107515523","wdt:P527"
60,"From where is gamabufotalin (GBT) isolated?","select ?item ?itemLabel
Where {
  wd:Q27149869 wdt:P703 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q27149869 wdt:P703 ?item']","['wdt:P703']","wd:Q27149869","wdt:P703"
61,"When is the drug Ivermectin used?","select ?item where {
  wd:Q415178 wdt:P2175 ?item .
}","['wd:Q415178 wdt:P2175 ?item']","['wdt:P2175']","wd:Q415178","wdt:P2175"
62,"What is the indication for isradipine?","select ?item ?itemLabel
Where {
  wd:Q414873 wdt:P2175 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q414873 wdt:P2175 ?item']","['wdt:P2175']","wd:Q414873","wdt:P2175"
63,"What is the mode of inheritance of Facioscapulohumeral muscular dystrophy (FSHD)?","select ?item ?itemLabel
where {
  wd:Q1399182 wdt:P1199 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}
","['wd:Q1399182 wdt:P1199 ?item']","['wdt:P1199']","wd:Q1399182","wdt:P1199"
64,"What are the roles of LEM-3?","select distinct ?item where {
  wd:Q29793364 wdt:P682 ?item .
}","['wd:Q29793364 wdt:P682 ?item']","['wdt:P682']","wd:Q29793364","wdt:P682"
65,"What are the main indications of lacosamide?","select distinct ?item where {
  wd:Q420077 wdt:P2175 ?item .
}","['wd:Q420077 wdt:P2175 ?item']","['wdt:P2175']","wd:Q420077","wdt:P2175"
66,"For what indications is thalidomide currently marketed?","select distinct ?item where {
  wd:Q203174 wdt:P2175 ?item .
}","['wd:Q203174 wdt:P2175 ?item']","['wdt:P2175']","wd:Q203174","wdt:P2175"
67,"What is the disease associated with the gene PRDM12?","select ?item ?itemLabel
Where {
  ?item wdt:P2293 wd:Q18045154 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['?item wdt:P2293 wd:Q18045154']","['wdt:P2293']","wd:Q18045154","wdt:P2293"
68,"What is the SPRTN protein function?","select ?item where {
  wd:Q21122101 wdt:P680 ?item .
}","['wd:Q21122101 wdt:P680 ?item']","['wdt:P680']","wd:Q21122101","wdt:P680"
69,"Which are the major types of the motor speech disorder dysarthria?","select distinct ?item where {
  ?item (wdt:P31|wdt:P279) wd:Q225957 .
}","['?item (wdt:P31|wdt:P279) wd:Q225957']","['(wdt:P31|wdt:P279)']","wd:Q225957","(wdt:P31|wdt:P279)"
70,"Which gene is frequently involved in autosomal dominant adult-onset demyelinating leukodystrophy (ADLD)?","select ?item ?itemLabel
Where {
  wd:Q28065590 wdt:P2293 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}
","['wd:Q28065590 wdt:P2293 ?item']","['wdt:P2293']","wd:Q28065590","wdt:P2293"
71,"What is the indication for Mirabegron?","select ?item ?itemLabel
Where {
  wd:Q3702534 wdt:P2175 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q3702534 wdt:P2175 ?item']","['wdt:P2175']","wd:Q3702534","wdt:P2175"
72,"Please list 6 symptoms of Scarlet fever.","select distinct ?item where {
  wd:Q180266 wdt:P780 ?item .
}","['wd:Q180266 wdt:P780 ?item']","['wdt:P780']","wd:Q180266","wdt:P780"
73,"Where is the TAZ (G4.5) is located in humans?","select ?item ?itemLabel
Where {
  wd:Q14881093 wdt:P4196 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q14881093 wdt:P4196 ?item']","['wdt:P4196']","wd:Q14881093","wdt:P4196"
74,"What is the effect of a defective CLN3 gene?","select ?item ?itemLabel
Where {
  wd:Q14905126 wdt:P2293 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q14905126 wdt:P2293 ?item']","['wdt:P2293']","wd:Q14905126","wdt:P2293"
75,"What are the 4 types of holoprosencephaly?","select distinct ?item where {
  ?item wdt:P279 wd:Q1459821 .
}
","['?item wdt:P279 wd:Q1459821']","['wdt:P279']","wd:Q1459821","wdt:P279"
76,"List symptoms of Heerfordt syndrome.","select distinct ?item where {
  wd:Q1593605 wdt:P780 ?item .
}","['wd:Q1593605 wdt:P780 ?item']","['wdt:P780']","wd:Q1593605","wdt:P780"
77,"List the essential aminoacids.","select distinct ?item where {
  ?item wdt:P31 wd:Q245282 .
}","['?item wdt:P31 wd:Q245282']","['wdt:P31']","wd:Q245282","wdt:P31"
78,"What are the types of ultraviolet (UV) solar radiation?","select distinct ?item where {
  wd:Q11391 wdt:P527 ?item .
}","['wd:Q11391 wdt:P527 ?item']","['wdt:P527']","wd:Q11391","wdt:P527"
79,"Where is the respirasome located?","select ?item ?itemLabel
Where {
  wd:Q909199 wdt:P361 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q909199 wdt:P361 ?item']","['wdt:P361']","wd:Q909199","wdt:P361"
80,"List pore forming toxins.","select distinct ?item where {
  ?item wdt:P279 wd:Q7230047 .
}","['?item wdt:P279 wd:Q7230047']","['wdt:P279']","wd:Q7230047","wdt:P279"
81,"What is the trade name of sildenafil?","select ?item ?itemLabel
Where {
  wd:Q191521 wdt:P3780 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}
","['wd:Q191521 wdt:P3780 ?item']","['wdt:P3780']","wd:Q191521","wdt:P3780"
82,"What is the drug target for Eliquis (Apixaban)?","select ?item ?itemLabel
Where {
  wd:Q414462 wdt:P129 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q414462 wdt:P129 ?item']","['wdt:P129']","wd:Q414462","wdt:P129"
83,"What is the role of ficolin?","select ?item ?itemLabel
Where {
  wd:Q21101395 wdt:P682 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q21101395 wdt:P682 ?item']","['wdt:P682']","wd:Q21101395","wdt:P682"
84,"Andexanet Alfa consists of which clotting factor?","select ?item ?itemLabel
Where {
  wd:Q7120529 wdt:P3781 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q7120529 wdt:P3781 ?item']","['wdt:P3781']","wd:Q7120529","wdt:P3781"
85,"What causes Katayama Fever?","select ?item ?itemLabel
Where {
  wd:Q18553329 wdt:P828 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q18553329 wdt:P828 ?item']","['wdt:P828']","wd:Q18553329","wdt:P828"
86,"Which is the target of bortezomib used in cancer therapy?","select ?item ?itemLabel
Where {
  wd:Q419319 wdt:P129 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q419319 wdt:P129 ?item']","['wdt:P129']","wd:Q419319","wdt:P129"
87,"List symptoms of Hakim Triad.","select distinct ?item where {
  wd:Q1442701 wdt:P780 ?item .
}","['wd:Q1442701 wdt:P780 ?item']","['wdt:P780']","wd:Q1442701","wdt:P780"
88,"Where is the protein Bouncer located?","select ?item ?itemLabel
Where {
  wd:Q60066550 wdt:P681 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q60066550 wdt:P681 ?item']","['wdt:P681']","wd:Q60066550","wdt:P681"
89,"Which is the cellular localization of the protein Opa1?","select ?item ?itemLabel 
Where {   
wd:Q21106682 wdt:P681 ?item .   
?item rdfs:label ?itemLabel .   
filter(lang(?itemLabel) = ""en"") 
}","['wd:Q21106682 wdt:P681 ?item']","['wdt:P681']","wd:Q21106682","wdt:P681"
90,"Where are integrins localized in a cell?","select ?item ?itemLabel
Where {
  wd:Q14904985 wdt:P361 ?item .
    ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}
","['wd:Q14904985 wdt:P361 ?item']","['wdt:P361']","wd:Q14904985","wdt:P361"
91,"Which syndromes are caused by LAMA1 mutations?","select ?item where {
  wd:Q11931131 wdt:P2293 ?item .
}","['wd:Q11931131 wdt:P2293 ?item']","['wdt:P2293']","wd:Q11931131","wdt:P2293"
92,"What is the role of IL-18BP?","select ?item ?itemLabel
Where {
  wd:Q21103365 wdt:P682 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q21103365 wdt:P682 ?item']","['wdt:P682']","wd:Q21103365","wdt:P682"
93,"What is the drug target(s) for Belsomra?","select ?item ?itemLabel
Where {
  wd:Q7650517 wdt:P129 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q7650517 wdt:P129 ?item']","['wdt:P129']","wd:Q7650517","wdt:P129"
94,"What is the inheritance pattern of Hunter disease or mucopolysaccharidosis II?","select ?item ?itemLabel
Where {
  wd:Q1529983 wdt:P1199 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q1529983 wdt:P1199 ?item']","['wdt:P1199']","wd:Q1529983","wdt:P1199"
95,"Where is the the protein perforin localized?","select ?item where {
  wd:Q21103279 wdt:P681 ?item .
}","['wd:Q21103279 wdt:P681 ?item']","['wdt:P681']","wd:Q21103279","wdt:P681"
96,"Which phenotypes are associated with mutations of the BSCL2 gene?","select distinct ?item where {
  ?item wdt:P2293 wd:Q18038304 .
}","['?item wdt:P2293 wd:Q18038304']","['wdt:P2293']","wd:Q18038304","wdt:P2293"
97,"Name two rotavirus vaccines.","select distinct ?item where {
  ?item wdt:P31|wdt:P279 wd:Q4411598 .
}","['?item wdt:P31|wdt:P279 wd:Q4411598']","['wdt:P31|wdt:P279']","wd:Q4411598","wdt:P31|wdt:P279"
98,"How is oprozomib administered?","select ?item ?itemLabel 
Where {   
wd:Q25104721 wdt:P636 ?item .   
?item rdfs:label ?itemLabel .   
filter(lang(?itemLabel) = ""en"") 
}","['wd:Q25104721 wdt:P636 ?item']","['wdt:P636']","wd:Q25104721","wdt:P636"
99,"What is the cause if the rare disease cystinosis?","select ?item ?itemLabel
Where {
  wd:Q1149042 wdt:P2293 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q1149042 wdt:P2293 ?item']","['wdt:P2293']","wd:Q1149042","wdt:P2293"
100,"What is the drug Aduhelm approved for?","select ?item where {
  wd:Q15708278 wdt:P2175 ?item .
}","['wd:Q15708278 wdt:P2175 ?item']","['wdt:P2175']","wd:Q15708278","wdt:P2175"
101,"What is the generic name of Gliolan?","select ?item ?itemLabel 
Where {   
wd:Q29005906 wdt:P3781 ?item .   
?item rdfs:label ?itemLabel .   
filter(lang(?itemLabel) = ""en"") 
}","['wd:Q29005906 wdt:P3781 ?item']","['wdt:P3781']","wd:Q29005906","wdt:P3781"
102,"What is the Triad of Alport Syndrome?","select distinct ?item where {
  wd:Q1331116 wdt:P780 ?item .
}","['wd:Q1331116 wdt:P780 ?item']","['wdt:P780']","wd:Q1331116","wdt:P780"
103,"List uses for Rituximab.","select distinct ?item where {
  wd:Q412323 wdt:P2175 ?item .
}","['wd:Q412323 wdt:P2175 ?item']","['wdt:P2175']","wd:Q412323","wdt:P2175"
104,"Which is the main target of the anti-arrhythmic activity of flecainide?","select ?item ?itemLabel
Where {
  wd:Q421381 wdt:P129 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q421381 wdt:P129 ?item']","['wdt:P129']","wd:Q421381","wdt:P129"
105,"Which molecule is targeted by Olaratumab?","select ?item ?itemLabel
Where {
  wd:Q7083108 wdt:P129 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q7083108 wdt:P129 ?item']","['wdt:P129']","wd:Q7083108","wdt:P129"
